Protocol,Domain,Path,Depth_url,Having_IP,URL_Length,Having_@_symbol,Redirection_//_symbol,Prefix_suffix_separation,Sub_domains,tiny_url,http_tokens,httpDomain,Port,label
http,www.bankwest.com.au,/,0,0,1,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/,0,0,1,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/,0,0,0,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/,0,0,2,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/Personal/,1,0,0,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/about-us/bankwest-careers-overview/find-a-job,3,0,2,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/about-us/media-centre/media-centre-overview,3,0,2,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/bonus,1,0,0,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/business/business-accounts/business-account-products/business-high-interest-transaction-account,4,0,1,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/business/business-loans/business-loan-services/bank-guarantees,4,0,1,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/business/our-services/business-banking-centres/brisbane,4,0,1,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/business/your-business/business-lifecycle/customer-video-testimonials,4,0,1,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/contact-us,1,0,0,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/cs/ContentServer,2,0,1,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/cs/ContentServer,2,0,1,0,0,0,1,1,0,1,0,1
http,www.bankwest.com.au,/find-us,1,0,0,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/four-oh-four,1,0,0,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/help/personal/online-banking,3,0,2,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/help/personal/online-banking/logging-into-bob,4,0,2,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/kids/,1,0,0,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/lowratecreditcard/,1,0,0,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/media-centre/financial-indicator-series/bankwest-skill-shortage-report-2012-1292487426050,3,0,1,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/media-centre/media-releases/all-about-australian-bank-notes---bankwest-infographics-1292488663256,3,0,1,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/media-centre/media-releases/bankwest-contemporary-art-prize-1292491155587,3,0,1,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/media-centre/media-releases/bankwest-estatements-competition-1292487335172,3,0,1,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/media-centre/media-releases/strong-financial-result-positions-bankwest-for-future-investment-1292483574299,3,0,1,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/media-centre/service-announcements/delays-with-online-banking-1292486525742,3,0,1,0,0,0,2,1,0,1,0,1
http,www.bankwest.com.au,/media-centre/service-announcements/interest-rate-update-1292486329216,3,0,1,0,0,0,2,1,0,1,0,1
